Day,Session,Treatment,Subject,Round,SL,Bid,Frequency_Consumption,Size,Time,Quality_Safety,Attention,Typical_SL,Typical_SL_Other,Choose,Minimum_SL,Shopper,Vegan,Significant_Issue,Feeling,Wrong,Consideration,Help_Reduction,Social_Contributes,Promotion,Discard_After,Discard_On,Discard_Smell,Discard_Taste,LD_indication,LD_words,Gender,Age,Education,Income,Marietal_St,Child,Family_Size,Family_Size_Other
1,1,Control,2,1,,4,Two or three times a month,Half gallon (64 fl oz),Within a week,Both,"Yes, always",Greater than 21 days,,Sometimes,10,Yes,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Male,38,Master's degree,"$150,000 or more",Domestic/live-in partner,No,2,
1,1,Control,2,2,7,2,Two or three times a month,Half gallon (64 fl oz),Within a week,Both,"Yes, always",Greater than 21 days,,Sometimes,10,Yes,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Male,38,Master's degree,"$150,000 or more",Domestic/live-in partner,No,2,
1,1,Control,2,3,1,0.01,Two or three times a month,Half gallon (64 fl oz),Within a week,Both,"Yes, always",Greater than 21 days,,Sometimes,10,Yes,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Male,38,Master's degree,"$150,000 or more",Domestic/live-in partner,No,2,
1,1,Control,2,4,3,1,Two or three times a month,Half gallon (64 fl oz),Within a week,Both,"Yes, always",Greater than 21 days,,Sometimes,10,Yes,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Male,38,Master's degree,"$150,000 or more",Domestic/live-in partner,No,2,
1,1,Control,2,5,-1,0,Two or three times a month,Half gallon (64 fl oz),Within a week,Both,"Yes, always",Greater than 21 days,,Sometimes,10,Yes,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Male,38,Master's degree,"$150,000 or more",Domestic/live-in partner,No,2,
1,1,Control,2,6,5,1.5,Two or three times a month,Half gallon (64 fl oz),Within a week,Both,"Yes, always",Greater than 21 days,,Sometimes,10,Yes,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Male,38,Master's degree,"$150,000 or more",Domestic/live-in partner,No,2,
1,1,Control,2,7,14,3,Two or three times a month,Half gallon (64 fl oz),Within a week,Both,"Yes, always",Greater than 21 days,,Sometimes,10,Yes,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Male,38,Master's degree,"$150,000 or more",Domestic/live-in partner,No,2,
1,1,Control,2,8,0,0,Two or three times a month,Half gallon (64 fl oz),Within a week,Both,"Yes, always",Greater than 21 days,,Sometimes,10,Yes,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Male,38,Master's degree,"$150,000 or more",Domestic/live-in partner,No,2,
1,1,Control,2,9,19,3.25,Two or three times a month,Half gallon (64 fl oz),Within a week,Both,"Yes, always",Greater than 21 days,,Sometimes,10,Yes,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Male,38,Master's degree,"$150,000 or more",Domestic/live-in partner,No,2,
1,1,Control,2,10,10,2.5,Two or three times a month,Half gallon (64 fl oz),Within a week,Both,"Yes, always",Greater than 21 days,,Sometimes,10,Yes,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Male,38,Master's degree,"$150,000 or more",Domestic/live-in partner,No,2,
1,1,Control,3,1,,2.95,Two or three times a month,1 quart (32 fl oz),More than a week,Food safety,Sometimes,14-21 days,,Sometimes,9,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Female,32,Master's degree,"$150,000 or more",Domestic/live-in partner,No,3,
1,1,Control,3,2,7,2.5,Two or three times a month,1 quart (32 fl oz),More than a week,Food safety,Sometimes,14-21 days,,Sometimes,9,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Female,32,Master's degree,"$150,000 or more",Domestic/live-in partner,No,3,
1,1,Control,3,3,1,0.99,Two or three times a month,1 quart (32 fl oz),More than a week,Food safety,Sometimes,14-21 days,,Sometimes,9,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Female,32,Master's degree,"$150,000 or more",Domestic/live-in partner,No,3,
1,1,Control,3,4,3,1.5,Two or three times a month,1 quart (32 fl oz),More than a week,Food safety,Sometimes,14-21 days,,Sometimes,9,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Female,32,Master's degree,"$150,000 or more",Domestic/live-in partner,No,3,
1,1,Control,3,5,-1,0,Two or three times a month,1 quart (32 fl oz),More than a week,Food safety,Sometimes,14-21 days,,Sometimes,9,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Female,32,Master's degree,"$150,000 or more",Domestic/live-in partner,No,3,
1,1,Control,3,6,5,1.6,Two or three times a month,1 quart (32 fl oz),More than a week,Food safety,Sometimes,14-21 days,,Sometimes,9,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Female,32,Master's degree,"$150,000 or more",Domestic/live-in partner,No,3,
1,1,Control,3,7,14,2.95,Two or three times a month,1 quart (32 fl oz),More than a week,Food safety,Sometimes,14-21 days,,Sometimes,9,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Female,32,Master's degree,"$150,000 or more",Domestic/live-in partner,No,3,
1,1,Control,3,8,0,0.25,Two or three times a month,1 quart (32 fl oz),More than a week,Food safety,Sometimes,14-21 days,,Sometimes,9,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Female,32,Master's degree,"$150,000 or more",Domestic/live-in partner,No,3,
1,1,Control,3,9,19,2.95,Two or three times a month,1 quart (32 fl oz),More than a week,Food safety,Sometimes,14-21 days,,Sometimes,9,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Female,32,Master's degree,"$150,000 or more",Domestic/live-in partner,No,3,
1,1,Control,3,10,10,2.95,Two or three times a month,1 quart (32 fl oz),More than a week,Food safety,Sometimes,14-21 days,,Sometimes,9,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Female,32,Master's degree,"$150,000 or more",Domestic/live-in partner,No,3,
1,1,Control,4,1,,1.99,Once a month,Half gallon (64 fl oz),More than a week,Food quality,"Yes, always",14-21 days,,Sometimes,5,Yes,No,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Female,41,Bachelor's degree in college (4-year),"$75,000-$99,999",Married,No,2,
1,1,Control,4,2,7,1.99,Once a month,Half gallon (64 fl oz),More than a week,Food quality,"Yes, always",14-21 days,,Sometimes,5,Yes,No,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Female,41,Bachelor's degree in college (4-year),"$75,000-$99,999",Married,No,2,
